,EDA,rise_time,max_deriv,amp,decay_time,SCR_width,AUC
2019-05-20 02:06:33.125000,2.23974360778,2.75,1.98762605766,2.23900098536,1.0,1.75,3.91825172438
2019-05-20 02:25:36.125000,1.65399759718,3.0,0.0203491109264,0.0680175648379,3.0,4.75,0.32308343298
2019-05-20 02:27:28.625000,1.72483501376,2.25,0.0542257379091,0.0655973851263,3.375,4.125,0.270589213646
2019-05-20 02:27:37.125000,1.78126378461,3.625,0.0447796315555,0.142588376213,,,
2019-05-20 02:27:43.750000,1.8576685384,3.25,0.114114724521,0.142170816294,,,
2019-05-20 02:28:08.500000,1.93792126802,4.0,0.0547850454875,0.180608216033,,,
2019-05-20 02:29:13.250000,2.44332702594,4.0,0.147930355735,0.2651860675,2.375,3.875,1.02759601156
2019-05-20 02:29:26.375000,2.54784465348,4.0,0.0265405119923,0.22038575696,3.5,5.375,1.18457344366
2019-05-20 02:29:38.750000,2.70864162961,3.75,0.145855439114,0.278465397897,,,
2019-05-20 02:30:01.250000,2.95906538864,2.125,0.0568263041687,0.0847213307086,1.5,2.875,0.243573825787
2019-05-20 02:30:38.625000,2.66501175677,3.25,0.134144901635,0.479626010666,2.375,4.25,2.03841054533
2019-05-20 02:31:14.250000,2.39761489432,4.0,0.0481026852144,0.201019206285,2.75,5.0,1.00509603142
2019-05-20 02:31:45.500000,2.47655929502,2.375,0.0296573189559,0.0799581341935,2.0,3.5,0.279853469677
2019-05-20 02:43:56.875000,0.785157807541,2.875,0.0217737368671,0.0363455880357,,,
2019-05-20 02:44:05.250000,0.82517849593,4.0,0.0331626628068,0.0551519514497,,,
2019-05-20 02:44:39.375000,0.949968185037,4.0,0.0342540379027,0.0839358679884,,,
2019-05-20 02:44:54.250000,0.943557071765,2.75,0.026399366251,0.0534821362382,,,
2019-05-20 02:47:13.125000,0.906458421203,4.0,0.0230223667915,0.0771598694209,3.75,6.0,0.462959216525
2019-05-20 02:48:47.375000,1.0088335185,2.0,0.0398040947331,0.0454221630772,2.5,3.5,0.15897757077
2019-05-20 02:49:17.250000,1.38601388912,2.625,0.0907913995249,0.164676581869,,,
2019-05-20 02:49:45.375000,1.71429979843,2.25,0.0511394433736,0.083077088091,1.25,2.625,0.218077356239
2019-05-20 02:50:33,1.62932373891,3.0,0.0807809293465,0.164961545473,,,
2019-05-20 02:53:15.250000,1.39922787167,3.25,0.0289190474407,0.0618907789573,2.125,3.75,0.23209042109
2019-05-20 02:53:47.250000,1.79087520251,4.0,0.060125710043,0.193120448303,,,
2019-05-20 02:53:59.500000,1.99386219468,3.75,0.0641688074371,0.165185137507,3.0,4.5,0.743333118781
2019-05-20 02:55:09.500000,2.0850430204,3.25,0.033313816762,0.154946846293,3.0,5.25,0.813470943039
2019-05-20 02:55:33.875000,1.84959980821,2.0,0.0261063326858,0.0427392804914,2.125,3.25,0.138902661597
2019-05-20 02:56:14.250000,1.84159581128,4.0,0.0400197476982,0.215721861008,,,
2019-05-20 02:59:34.625000,1.30762154724,2.625,0.0339699500008,0.0568347215156,3.75,5.125,0.291277947767
2019-05-20 02:59:55.375000,1.61799540647,4.0,0.0592656883733,0.244304763832,,,
2019-05-20 03:00:17.125000,1.69141771446,3.0,0.0170533071813,0.0478707803561,,,
2019-05-20 03:00:50.375000,2.45620416243,2.625,0.258575919451,0.483881625684,1.875,3.875,1.87504129953
2019-05-20 03:01:26.625000,2.22430371193,3.625,0.0184996433095,0.13920127099,3.875,5.875,0.817807467065
2019-05-20 03:01:40.500000,2.22452757081,2.5,0.0280841140168,0.0367186083821,1.0,1.875,0.0688473907164
2019-05-20 03:01:55.375000,2.25142697829,4.0,0.0331542100941,0.179464700247,,,
2019-05-20 03:02:45.750000,2.41409757058,2.0,0.0384247052576,0.0538758458841,1.0,2.0,0.107751691768
2019-05-20 03:03:05.375000,2.71315618242,2.0,0.102887488855,0.103648347602,,,
2019-05-20 03:03:41.375000,3.31921530799,2.625,0.138514886522,0.185419574417,2.625,3.625,0.672145957263
2019-05-20 03:03:51.250000,3.34782474546,2.125,0.189342398961,0.257364447317,2.25,3.375,0.868605009695
2019-05-20 03:04:15,3.30605262655,2.125,0.221206000973,0.239199562333,1.875,3.0,0.717598686998
2019-05-20 03:05:08.750000,2.55654715743,3.125,0.109491620356,0.22933110923,,,
2019-05-20 03:05:32.500000,2.95210333086,3.5,0.0411302347796,0.148392750095,3.125,5.125,0.760512844235
2019-05-20 03:05:41,2.89325288833,2.0,0.0380521554362,0.0453862436524,1.75,2.875,0.130485450501
2019-05-20 03:06:05.500000,2.66279751913,2.375,0.0468263387097,0.084226794168,1.875,3.25,0.273737081046
2019-05-20 03:06:14.625000,2.80657671648,3.875,0.0845501879009,0.269128603836,,,
2019-05-20 03:06:24.250000,2.7071126091,2.125,0.0428913233481,0.0624210211484,1.375,2.75,0.171657808158
2019-05-20 03:06:33.375000,2.85629893085,4.0,0.0571100124004,0.187025610713,2.625,5.75,1.0753972616
2019-05-20 03:13:00,1.17289063103,2.75,0.018831326935,0.0500142690364,,,
2019-05-20 03:14:11.875000,2.00899895212,3.5,0.0939457376623,0.240801938278,,,
2019-05-20 03:14:17.875000,2.10633514442,2.875,0.0824254839587,0.171181244392,,,
2019-05-20 03:15:07.250000,1.95226592998,2.5,0.0208493922021,0.0547278163695,2.0,3.5,0.191547357293
2019-05-20 03:16:04.500000,2.04396849391,2.75,0.0336175946817,0.0813476994124,2.75,4.125,0.335559260076
2019-05-20 03:17:18.750000,1.7883437609,4.0,0.0584383017994,0.176916072316,,,
2019-05-20 03:21:31.500000,1.56191011151,2.25,0.041924268252,0.0643100487152,1.75,3.125,0.200968902235
2019-05-20 03:22:21.375000,1.84854782687,2.375,0.0265133091082,0.0386685264329,1.125,2.125,0.0821706186699
2019-05-20 03:23:08.625000,1.83608622613,2.5,0.0682102334111,0.0877161817566,2.5,3.75,0.328935681587
2019-05-20 03:23:56.750000,1.8585563139,2.0,0.0294550132154,0.0307404718966,1.125,2.25,0.0691660617674
2019-05-20 03:24:15,1.94038471428,2.0,0.0996586633428,0.138586361437,1.125,2.125,0.294496018054
2019-05-20 03:25:04.250000,2.3032626062,3.625,0.0632126335402,0.190451270652,,,
2019-05-20 03:26:04.375000,2.5499007725,3.625,0.0842040348038,0.169864995677,2.625,4.625,0.785625605005
2019-05-20 03:28:11.750000,2.8840091968,4.0,0.231161970237,0.341315441339,,,
2019-05-20 03:28:43.500000,2.78542128192,2.0,0.286591662016,0.170867121992,0.625,1.0,0.170867121992
2019-05-20 03:35:25,1.42730142282,2.875,0.0166837851374,0.0381622349488,,,
2019-05-20 03:35:37.875000,1.54443335329,2.0,0.0272618109174,0.0473646687898,1.625,2.75,0.130252839172
2019-05-20 03:37:23.875000,1.96323019696,2.0,0.247005331173,0.318718446014,1.0,1.875,0.597597086277
2019-05-20 03:38:24.125000,1.98298324366,2.75,0.0129294923868,0.0380083603862,1.625,3.125,0.118776126207
2019-05-20 03:41:02,2.92958785824,3.25,0.121792751274,0.248162304329,,,
2019-05-20 03:41:53.250000,2.84271668016,2.125,0.0659974919469,0.114468680229,0.875,2.0,0.228937360457
